Name,State App't From,Appointed by President,Judicial Oath Taken,Date Service Terminated
"Clifford, Nathan",Maine,Buchanan,"January 21, 1858","July 25, 1881"
"Swayne, Noah Haynes",Ohio,Lincoln,"January 27, 1862","January 24, 1881"
"Miller, Samuel Freeman",Iowa,Lincoln,"July 21, 1862","October 13, 1890"
"Davis, David",Illinois,Lincoln,"December 10, 1862","March 4, 1877"
"Field, Stephen Johnson",California,Lincoln,"May 20, 1863","December 1, 1897"
"Strong, William",Pennsylvania,Grant,"March 14, 1870","December 14, 1880"
"Bradley, Joseph P.",New Jersey,Grant,"March 23, 1870","January 22, 1892"
"Hunt, Ward",New York,Grant,"January 9, 1873","January 27, 1882"
"Harlan, John Marshall",Kentucky,Hayes,December 10 1877,"October 14, 1911"
"Woods, William Burnham",Georgia,Hayes,"January 5, 1881","May 14, 1887"
"Matthews, Stanley",Ohio,Garfield,"May 17, 1881","March 22, 1889"
"Gray, Horace",Massachusetts,Arthur,"January 9, 1882","September 15, 1902"
"Blatchford, Samuel",New York,Arthur,"April 3, 1882","July 7, 1893"
"Lamar, Lucius Quintus C.",Mississippi,Cleveland,"January 18, 1888","January 23, 1893"
"Brewer, David Josiah",Kansas,Harrison,"January 6, 1890","March 28, 1910"
"Brown, Henry Billings",Michigan,Harrison,"January 5, 1891","May 28, 1906"
"Shiras, George, Jr.",Pennsylvania,Harrison,"October 10, 1892","February 23, 1903"
"Jackson, Howell Edmunds",Tennessee,Harrison,"March 4, 1893","August 8, 1895"
"White, Edward Douglass",Louisiana,Cleveland,"March 12, 1894","December 18, 1910*"
"Peckham, Rufus Wheeler",New York,Cleveland,"January 6, 1896","October 24, 1909"
"McKenna, Joseph",California,McKinley,"January 26, 1898","January 5, 1925"
"Holmes, Oliver Wendell",Massachusetts,"Roosevelt, T.","December 8, 1902","January 12, 1932"
"Day, William Rufus",Ohio,"Roosevelt, T.","March 2, 1903","November 13, 1922"
"Moody, William Henry",Massachusetts,"Roosevelt, T.","December 17, 1906","November 20, 1910"
"Lurton, Horace Harmon",Tennessee,Taft,"January 3, 1910","July 12, 1914"
"Hughes, Charles Evans",New York,Taft,"October 10, 1910","June 10, 1916"
"Van Devanter, Willis",Wyoming,Taft,"January 3, 1911","June 2, 1937"
"Lamar, Joseph Rucker",Georgia,Taft,"January 3, 1911","January 2, 1916"
"Pitney, Mahlon",New Jersey,Taft,"March 18, 1912","December 31, 1922"
"McReynolds, James Clark",Tennessee,Wilson,"October 12, 1914","January 31, 1941"
"Brandeis, Louis Dembitz",Massachusetts,Wilson,"June 5,1916","February 13, 1939"
"Clarke, John Hessin",Ohio,Wilson,"October 9, 1916","September 18, 1922"
"Sutherland, George",Utah,Harding,"October 2, 1922","January 17, 1938"
"Butler, Pierce",Minnesota,Harding,"January 2, 1923","November 16, 1939"
"Sanford, Edward Terry",Tennessee,Harding,"February 19, 1923","March 8, 1930"
"Stone, Harlan Fiske",New York,Coolidge,"March 2, 1925","July 2, 1941*"
"Roberts, Owen Josephus",Pennsylvania,Hoover,"June 2, 1930","July 31, 1945"
"Cardozo, Benjamin Nathan",New York,Hoover,"March 14, 1932","July 9, 1938"
"Black, Hugo Lafayette",Alabama,"Roosevelt, F.","August 19, 1937","September 17, 1971"
"Reed, Stanley Forman",Kentucky,"Roosevelt, F.","January 31, 1938","February 25, 1957"
"Frankfurter, Felix",Massachusetts,"Roosevelt, F.","January 30, 1939","August 28, 1962"
"Douglas, William Orville",Connecticut,"Roosevelt, F.","April 17, 1939","November 12, 1975"
"Murphy, Frank",Michigan,"Roosevelt, F.","February 5, 1940","July 19, 1949"
"Byrnes, James Francis",South Carolina,"Roosevelt, F.","July 8, 1941","October 3, 1942"
"Jackson, Robert Houghwout",New York,"Roosevelt, F.","July 11, 1941","October 9, 1954"
"Rutledge, Wiley Blount",Iowa,"Roosevelt, F.","February 15, 1943","September 10, 1949"
"Burton, Harold Hitz",Ohio,Truman,"October 1, 1945","October 13, 1958"
"Clark, Tom Campbell",Texas,Truman,"August 24, 1949","June 12, 1967"
"Minton, Sherman",Indiana,Truman,"October 12, 1949","October 15, 1956"
"Harlan, John Marshall",New York,Eisenhower,"March 28, 1955","September 23, 1971"
"Brennan, William J., Jr.",New Jersey,Eisenhower,"October 16, 1956","July 20, 1990"
"Whittaker, Charles Evans",Missouri,Eisenhower,"March 25, 1957","March 31, 1962"
"Stewart, Potter",Ohio,Eisenhower,"October 14, 1958","July 3, 1981"
"White, Byron Raymond",Colorado,Kennedy,"April 16, 1962","June 28, 1993"
"Goldberg, Arthur Joseph",Illinois,Kennedy,"October 1, 1962","July 25, 1965"
"Fortas, Abe",Tennessee,"Johnson, L.","October 4, 1965","May 14, 1969"
"Marshall, Thurgood",New York,"Johnson, L.","October 2, 1967","October 1, 1991"
"Blackmun, Harry A.",Minnesota,Nixon,"June 9, 1970","August 3, 1994"
"Powell, Lewis F., Jr.",Virginia,Nixon,"January 7, 1972","June 26, 1987"
"Rehnquist, William H.",Arizona,Nixon,"January 7, 1972","September 26, 1986*"
"Stevens, John Paul",Illinois,Ford,"December 19, 1975","June 29, 2010"
"O'Connor, Sandra Day",Arizona,Reagan,"September 25, 1981","January 31, 2006"
"Scalia, Antonin",Virginia,Reagan,"September 26, 1986","February 13, 2016"
"Kennedy, Anthony M.",California,Reagan,"February 18, 1988","July 31, 2018"
"Souter, David H.",New Hampshire,"Bush, G. H. W.","October 9, 1990","June 29, 2009"
"Thomas, Clarence",Georgia,"Bush, G. H. W.","October 23, 1991",
"Ginsburg, Ruth Bader",New York,Clinton,"August 10, 1993","September 18, 2020"
"Breyer, Stephen G.",Massachusetts,Clinton,"August 3, 1994","June 30, 2022"
"Alito, Samuel A., Jr.",New Jersey,"Bush, G. W.","January 31, 2006",
"Sotomayor, Sonia",New York,Obama,"August 8, 2009",
"Kagan, Elena",Massachusetts,Obama,"August 7, 2010",
"Gorsuch, Neil M.",Colorado,Trump,"April 10, 2017",
"Kavanaugh, Brett M.",Maryland,Trump,"October 6, 2018",
"Barrett, Amy Coney",Indiana,Trump,"October 27, 2020",
"Jackson, Ketanji Brown","Washington, D.C.",Biden,"June 30, 2022",
